"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 22, 2017","1,823.91","1,824.46","1,829.16","1,822.88","0","-0.03"
"Jun 21, 2017","1,824.46","1,825.26","1,829.39","1,820.94","0","-0.04"
"Jun 20, 2017","1,825.26","1,837.62","1,837.62","1,824.95","0","-0.67"
"Jun 19, 2017","1,837.62","1,822.69","1,837.85","1,822.69","0","0.82"
"Jun 16, 2017","1,822.69","1,822.20","1,822.69","1,815.03","0","0.03"
"Jun 15, 2017","1,822.20","1,826.36","1,826.36","1,811.88","0","-0.23"
"Jun 14, 2017","1,826.36","1,828.17","1,831.20","1,819.33","0","-0.10"
"Jun 13, 2017","1,828.17","1,819.64","1,828.97","1,819.64","0","0.47"
"Jun 12, 2017","1,819.64","1,821.34","1,821.34","1,812.64","0","-0.09"
"Jun 09, 2017","1,821.34","1,823.23","1,832.52","1,809.52","0","-0.10"
"Jun 08, 2017","1,823.23","1,822.57","1,827.11","1,818.78","0","0.04"
"Jun 07, 2017","1,822.57","1,819.54","1,824.08","1,816.38","0","0.17"
"Jun 06, 2017","1,819.54","1,824.62","1,824.63","1,818.54","0","-0.28"
"Jun 05, 2017","1,824.62","1,826.99","1,827.18","1,823.48","0","-0.13"
"Jun 02, 2017","1,826.99","1,820.33","1,827.88","1,818.63","0","0.37"
"Jun 01, 2017","1,820.33","1,806.13","1,820.33","1,806.13","0","0.79"
"May 31, 2017","1,806.13","1,806.63","1,808.92","1,799.68","0","-0.03"
"May 30, 2017","1,806.63","1,808.79","1,808.79","1,804.17","0","-0.12"
"May 26, 2017","1,808.79","1,808.16","1,809.32","1,806.00","0","0.03"
"May 25, 2017","1,808.16","1,800.05","1,810.80","1,800.05","0","0.45"
"May 24, 2017","1,800.05","1,795.34","1,800.90","1,795.34","0","0.26"
"May 23, 2017","1,795.34","1,792.09","1,797.08","1,791.93","0","0.18"
"May 22, 2017","1,792.09","1,782.72","1,793.12","1,782.72","0","0.53"
"May 19, 2017","1,782.72","1,770.69","1,788.17","1,770.69","0","0.68"
"May 18, 2017","1,770.69","1,764.11","1,777.97","1,760.97","0","0.37"
"May 17, 2017","1,764.11","1,796.83","1,796.83","1,763.52","0","-1.82"
"May 16, 2017","1,796.83","1,797.95","1,800.52","1,793.34","0","-0.06"
"May 15, 2017","1,797.95","1,789.18","1,799.16","1,789.18","0","0.49"
"May 12, 2017","1,789.18","1,791.79","1,791.79","1,786.55","0","-0.15"
"May 11, 2017","1,791.79","1,796.06","1,796.06","1,782.59","0","-0.24"
"May 10, 2017","1,796.06","1,794.10","1,796.12","1,791.04","0","0.11"
"May 09, 2017","1,794.10","1,795.67","1,799.11","1,790.81","0","-0.09"
"May 08, 2017","1,795.67","1,796.00","1,797.35","1,791.74","0","-0.02"
"May 05, 2017","1,796.00","1,788.41","1,796.00","1,788.41","0","0.42"
"May 04, 2017","1,788.41","1,787.51","1,789.66","1,781.66","0","0.05"
"May 03, 2017","1,787.51","1,790.35","1,790.35","1,781.74","0","-0.16"
"May 02, 2017","1,790.35","1,788.65","1,791.90","1,786.64","0","0.10"
"May 01, 2017","1,788.65","1,785.21","1,793.11","1,785.21","0","0.19"
"Apr 28, 2017","1,785.21","1,788.83","1,791.80","1,783.89","0","-0.20"
"Apr 27, 2017","1,788.83","1,787.53","1,791.23","1,784.45","0","0.07"
"Apr 26, 2017","1,787.53","1,788.39","1,795.34","1,787.05","0","-0.05"
"Apr 25, 2017","1,788.39","1,777.51","1,791.21","1,777.51","0","0.61"
"Apr 24, 2017","1,777.51","1,758.34","1,779.51","1,758.34","0","1.09"
"Apr 21, 2017","1,758.34","1,763.74","1,763.91","1,755.38","0","-0.31"
"Apr 20, 2017","1,763.74","1,750.51","1,767.67","1,750.51","0","0.76"
"Apr 19, 2017","1,750.51","1,753.24","1,761.03","1,748.25","0","-0.16"
"Apr 18, 2017","1,753.24","1,758.11","1,758.11","1,747.54","0","-0.28"
"Apr 17, 2017","1,758.11","1,743.10","1,758.16","1,743.10","0","0.86"
"Apr 13, 2017","1,743.10","1,754.86","1,757.28","1,743.10","0","-0.67"
"Apr 12, 2017","1,754.86","1,761.72","1,761.72","1,752.30","0","-0.39"
"Apr 11, 2017","1,761.72","1,764.06","1,764.06","1,749.42","0","-0.13"
"Apr 10, 2017","1,764.06","1,762.64","1,770.72","1,759.91","0","0.08"
"Apr 07, 2017","1,762.64","1,764.02","1,768.52","1,759.02","0","-0.08"
"Apr 06, 2017","1,764.02","1,760.31","1,768.72","1,757.46","0","0.21"
"Apr 05, 2017","1,760.31","1,766.00","1,779.30","1,758.63","0","-0.32"
"Apr 04, 2017","1,766.00","1,765.07","1,766.26","1,759.29","0","0.05"
"Apr 03, 2017","1,765.07","1,768.05","1,770.51","1,754.73","0","-0.17"
"Mar 31, 2017","1,768.05","1,771.95","1,773.62","1,767.95","0","-0.22"
"Mar 30, 2017","1,771.95","1,766.88","1,773.69","1,765.03","0","0.29"
"Mar 29, 2017","1,766.88","1,764.85","1,768.49","1,760.71","0","0.12"
"Mar 28, 2017","1,764.85","1,752.21","1,768.70","1,749.58","0","0.72"
"Mar 27, 2017","1,752.21","1,753.83","1,754.63","1,737.72","0","-0.09"
"Mar 24, 2017","1,753.83","1,755.22","1,762.93","1,747.85","0","-0.08"
"Mar 23, 2017","1,755.22","1,756.93","1,764.82","1,752.65","0","-0.10"
"Mar 22, 2017","1,756.93","1,753.49","1,759.27","1,748.08","0","0.20"
"Mar 21, 2017","1,753.49","1,776.13","1,782.26","1,751.94","0","-1.27"
"Mar 20, 2017","1,776.13","1,779.91","1,780.72","1,773.45","0","-0.21"
"Mar 17, 2017","1,779.91","1,782.11","1,785.32","1,779.40","0","-0.12"
"Mar 16, 2017","1,782.11","1,784.72","1,787.03","1,779.14","0","-0.15"
"Mar 15, 2017","1,784.72","1,769.97","1,788.22","1,769.97","0","0.83"
"Mar 14, 2017","1,769.97","1,775.88","1,775.88","1,764.52","0","-0.33"
"Mar 13, 2017","1,775.88","1,774.99","1,776.57","1,772.24","0","0.05"
"Mar 10, 2017","1,774.99","1,769.12","1,778.06","1,768.03","0","0.33"
"Mar 09, 2017","1,769.12","1,767.82","1,772.42","1,761.51","0","0.07"
"Mar 08, 2017","1,767.82","1,771.83","1,775.38","1,766.50","0","-0.23"
"Mar 07, 2017","1,771.83","1,777.05","1,777.05","1,769.83","0","-0.29"
"Mar 06, 2017","1,777.05","1,782.99","1,782.99","1,771.70","0","-0.33"
"Mar 03, 2017","1,782.99","1,781.98","1,783.51","1,777.11","0","0.06"
"Mar 02, 2017","1,781.98","1,792.68","1,792.68","1,780.81","0","-0.60"
"Mar 01, 2017","1,792.68","1,768.91","1,796.29","1,768.91","0","1.34"
"Feb 28, 2017","1,768.91","1,773.69","1,773.69","1,765.56","0","-0.27"
"Feb 27, 2017","1,773.69","1,771.71","1,774.89","1,767.53","0","0.11"
"Feb 24, 2017","1,771.71","1,768.95","1,771.71","1,760.91","0","0.16"
"Feb 23, 2017","1,768.95","1,768.64","1,772.41","1,762.61","0","0.02"
"Feb 22, 2017","1,768.64","1,770.48","1,770.48","1,765.48","0","-0.10"
"Feb 21, 2017","1,770.48","1,759.88","1,771.43","1,759.88","0","0.60"
"Feb 17, 2017","1,759.88","1,756.75","1,759.88","1,751.10","0","0.18"
"Feb 16, 2017","1,756.75","1,758.52","1,760.11","1,750.72","0","-0.10"
"Feb 15, 2017","1,758.52","1,749.80","1,759.96","1,748.03","0","0.50"
"Feb 14, 2017","1,749.80","1,742.97","1,749.80","1,738.59","0","0.39"
"Feb 13, 2017","1,742.97","1,733.91","1,745.41","1,733.91","0","0.52"
"Feb 10, 2017","1,733.91","1,727.95","1,736.17","1,727.95","0","0.34"
"Feb 09, 2017","1,727.95","1,717.87","1,730.30","1,717.87","0","0.59"
"Feb 08, 2017","1,717.87","1,716.42","1,718.74","1,710.81","0","0.08"
"Feb 07, 2017","1,716.42","1,715.95","1,721.08","1,714.34","0","0.03"
"Feb 06, 2017","1,715.95","1,719.44","1,719.44","1,713.01","0","-0.20"
"Feb 03, 2017","1,719.44","1,707.00","1,720.10","1,707.00","0","0.73"
"Feb 02, 2017","1,707.00","1,705.82","1,709.30","1,700.23","0","0.07"
"Feb 01, 2017","1,705.82","1,705.43","1,713.17","1,700.79","0","0.02"
"Jan 31, 2017","1,705.43","1,706.48","1,706.48","1,696.75","0","-0.06"
"Jan 30, 2017","1,706.48","1,716.78","1,716.78","1,696.74","0","-0.60"
"Jan 27, 2017","1,716.78","1,718.31","1,721.09","1,714.50","0","-0.09"
"Jan 26, 2017","1,718.31","1,719.67","1,721.59","1,716.46","0","-0.08"
"Jan 25, 2017","1,719.67","1,705.93","1,720.53","1,705.93","0","0.81"
"Jan 24, 2017","1,705.93","1,694.56","1,709.09","1,694.56","0","0.67"
"Jan 23, 2017","1,694.56","1,698.97","1,699.29","1,688.55","0","-0.26"
"Jan 20, 2017","1,698.97","1,693.46","1,703.35","1,693.46","0","0.33"
"Jan 19, 2017","1,693.46","1,699.51","1,701.39","1,689.59","0","-0.36"
