"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 06, 2016","1,632.82","1,630.24","1,633.75","1,623.80","0","0.16"
"Sep 02, 2016","1,630.24","1,620.38","1,633.19","1,620.38","0","0.61"
"Sep 01, 2016","1,620.38","1,618.92","1,622.77","1,609.07","0","0.09"
"Aug 31, 2016","1,618.92","1,624.27","1,624.27","1,610.82","0","-0.33"
"Aug 30, 2016","1,624.27","1,628.02","1,630.10","1,619.26","0","-0.23"
"Aug 29, 2016","1,628.02","1,618.74","1,631.17","1,618.74","0","0.57"
"Aug 26, 2016","1,618.74","1,623.06","1,635.69","1,611.65","0","-0.27"
"Aug 25, 2016","1,623.06","1,622.65","1,629.02","1,619.63","0","0.03"
"Aug 24, 2016","1,622.65","1,634.88","1,634.88","1,619.84","0","-0.75"
"Aug 23, 2016","1,634.88","1,628.16","1,638.39","1,628.16","0","0.41"
"Aug 22, 2016","1,628.16","1,626.71","1,628.29","1,621.28","0","0.09"
"Aug 19, 2016","1,626.71","1,625.00","1,627.42","1,617.85","0","0.11"
"Aug 18, 2016","1,625.00","1,615.30","1,625.00","1,615.30","0","0.60"
"Aug 17, 2016","1,615.30","1,615.71","1,616.05","1,604.90","0","-0.03"
"Aug 16, 2016","1,615.71","1,628.65","1,628.65","1,615.62","0","-0.79"
"Aug 15, 2016","1,628.65","1,619.31","1,631.87","1,619.31","0","0.58"
"Aug 12, 2016","1,619.31","1,619.84","1,622.52","1,615.40","0","-0.03"
"Aug 11, 2016","1,619.84","1,610.14","1,621.37","1,610.14","0","0.60"
"Aug 10, 2016","1,610.14","1,614.97","1,617.61","1,607.74","0","-0.30"
"Aug 09, 2016","1,614.97","1,617.08","1,620.13","1,612.81","0","-0.13"
"Aug 08, 2016","1,617.08","1,616.71","1,623.21","1,615.72","0","0.02"
"Aug 05, 2016","1,616.71","1,603.50","1,617.42","1,603.50","0","0.82"
"Aug 04, 2016","1,603.50","1,602.95","1,607.95","1,599.64","0","0.03"
"Aug 03, 2016","1,602.95","1,594.30","1,602.95","1,586.55","0","0.54"
"Aug 02, 2016","1,594.30","1,611.71","1,611.71","1,587.09","0","-1.08"
"Aug 01, 2016","1,611.71","1,618.94","1,620.42","1,608.84","0","-0.45"
"Jul 29, 2016","1,618.94","1,616.55","1,620.79","1,606.41","0","0.15"
"Jul 28, 2016","1,616.55","1,609.41","1,618.51","1,603.91","0","0.44"
"Jul 27, 2016","1,609.41","1,619.84","1,620.27","1,602.93","0","-0.64"
