"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2017","1,713.10","1,730.18","1,732.99","1,712.56","0","-0.99"
"Apr 27, 2017","1,730.18","1,730.44","1,735.49","1,725.12","0","-0.02"
"Apr 26, 2017","1,730.44","1,725.90","1,737.30","1,723.03","0","0.26"
"Apr 25, 2017","1,725.90","1,713.14","1,730.91","1,713.14","0","0.74"
"Apr 24, 2017","1,713.14","1,695.60","1,715.72","1,695.60","0","1.03"
"Apr 21, 2017","1,695.60","1,700.18","1,700.18","1,691.80","0","-0.27"
"Apr 20, 2017","1,700.18","1,683.31","1,701.30","1,683.31","0","1.00"
"Apr 19, 2017","1,683.31","1,679.27","1,693.19","1,679.27","0","0.24"
"Apr 18, 2017","1,679.27","1,679.18","1,680.52","1,668.60","0","0.01"
"Apr 17, 2017","1,679.18","1,660.38","1,679.22","1,660.38","0","1.13"
"Apr 13, 2017","1,660.38","1,676.92","1,678.64","1,660.31","0","-0.99"
"Apr 12, 2017","1,676.92","1,695.64","1,695.64","1,675.35","0","-1.10"
"Apr 11, 2017","1,695.64","1,686.96","1,695.85","1,677.63","0","0.51"
"Apr 10, 2017","1,686.96","1,682.21","1,695.30","1,680.46","0","0.28"
"Apr 07, 2017","1,682.21","1,683.69","1,686.45","1,676.48","0","-0.09"
"Apr 06, 2017","1,683.69","1,669.53","1,684.67","1,667.21","0","0.85"
"Apr 05, 2017","1,669.53","1,684.82","1,698.86","1,667.96","0","-0.91"
"Apr 04, 2017","1,684.82","1,684.77","1,688.90","1,680.06","0","0.00"
"Apr 03, 2017","1,684.77","1,699.73","1,702.97","1,679.76","0","-0.88"
"Mar 31, 2017","1,699.73","1,696.62","1,704.58","1,694.10","0","0.18"
"Mar 30, 2017","1,696.62","1,686.51","1,697.29","1,686.51","0","0.60"
"Mar 29, 2017","1,686.51","1,681.00","1,687.53","1,675.44","0","0.33"
"Mar 28, 2017","1,681.00","1,667.81","1,682.34","1,663.22","0","0.79"
"Mar 27, 2017","1,667.81","1,667.15","1,670.13","1,645.90","0","0.04"
"Mar 24, 2017","1,667.15","1,666.74","1,677.12","1,661.01","0","0.02"
"Mar 23, 2017","1,666.74","1,661.54","1,676.58","1,658.18","0","0.31"
"Mar 22, 2017","1,661.54","1,661.03","1,663.23","1,651.30","0","0.03"
"Mar 21, 2017","1,661.03","1,698.26","1,704.83","1,660.23","0","-2.19"
